"Séquentiel","SID","Heure de soumission","Heure de complétion","Heure de modification","Brouillon","Adresse IP","UID","Nom d'utilisateur","1 - Vous êtes ? ","Votre statut :","Votre ancienneté dans la profession d'enseignant/chercheur (permanent ou non)","Autre statut :","Ancienneté de nomination sur votre premier poste (MCF, PU ou assimilé)","Obtention de l'HDR","Ancienneté de nomination sur votre poste actuel (MCF, PU ou assimilé)","Type de votre établissement","Autre établissement : ","Ville ","Vous êtes rattaché.e à :","Formation en informatique","Formation à forte composante informatique","Autres formations","Vous êtes membre d'un laboratoire","Au total","En Informatique","Distance en temps pour transiter de votre lieu d'enseignement à celui de la recherche","Commentaires éventuels (sur le formulaire ou sur votre situation personnelle)","Faites vous des heures complémentaires ?","Vous les faîtes majoritairement","cette année","ces cinq dernières années","Si vous avez une décharge d'enseignement, à combien se monte-elle en heures en moyenne par an  ","Combien de mois d'aménagement de temps (CRCT, délégation....) avez-vous obtenus ces dix dernières années","Quantité d'étudiants (TD/TP)","Quantité d'heures d'enseignement","Etat général des locaux et matériels","Equilibre volume CM/TD/TP","Organisation (rythme, doublons, horaires...) des enseignements","Relation avec les étudiants","Equipe pédagogique (relations, nombre...)","Equipe technique  (relations, nombre, support, ...)","Equipe administrative  (relations, nombre, support, ...)","Evaluation de vos enseignements","Charges administratives (volume, complexité...)","Responsabilités pédagogiques (UE, Année...)","Responsabilité de filière","Pensez-vous qu'il soit reconnu intitutionnellement ?","Appréciation personnelle sur l'enseignement","Commentaires éventuels (sur le formulaire ou sur votre appréciation personnelle de l'enseignement)","Quantité de doctorants/stagiaires/... ces 5 dernières années contribuant à votre recherche","Nbe d'heures de recherche disponibles","Etat général des locaux et matériels","Moyens financiers pérennes","Moyens financiers issus de projets","Equilbre montage de projet/réalisation concrète de projets","Ratio temps montage / taux de succès aux appels nationaux","Ratio temps montage / taux de succès aux appels internationaux","Retio temps montage-discussion / taux de succès aux contrats industriels","Equipe de recherche (relations, nombre...)","Equipe technique (relations, nombre, support, ...)","Equipe administrative  (relations, nombre, support, ...)","Charges administratives (projet, ..)","Animation (séminaire, médiatisation...)","Responsabilités locales (équipes, laboratoire...)","Responsabilités nationales ou internationales","Appréciation personnelle sur la recherche","Commentaires éventuels (sur le formulaire ou sur votre appréciation personnelle de la recherche)","Avez-vous des charges administratives ?","Resp. administratives","Resp. pédagogiques","Resp. électives (Conseils de composantes, de laboratoire, ...)","Autres","J'apprécie mes charges/activités administratives","J'ai  beaucoup de charges administratives","Je ne les ai pas vraiment ""choisies"" (elles m'ont été imposées / je les ai acceptées parce que personne ne voulait les prendre en charge)","Il y a des charges administratives que j'aurais voulu assurer mais que je n'ai pas pu obtenir","Certains  de mes collègues se défilent trop souvent à accepter ces charges","Mes responsabilités administratives sont bien prises en compte lors de l'évaluation de mon dossier RIPEC","Mes charges/activités administratives influent positivement sur le déroulement de ma carrière","Les moyens financiers pérennes nécessaires à ces activités sont suffisants","Les équipe administratives et/ou techniques nécessaires à ces activités sont suffisantes","J'ai assez d'automie dans ces activités","Quel serait pour vous, la répartition ""idéale"" entre Enseignement/Rech/Adm (donnez votre réponse sous la forme d'un ratio E/R/A - Ex. 45/45/10)","Pensez-vous avoir de bonnes chances d'avoir la RIPEC3 ?","Pensez-vous avoir de bonnes chances de progresser dans votre carrière (changement de grade, de classe... ?","Finalement trouvez vous ce métier encore intéressant ?","Pensez-vous qu'il est attirant pour de jeunes chercheurs ?","Le conseilleriez-vous à un futur docteur en Informatique ?","Pouvez-vous expliquer vos réponses merci ..."
"547","16093134","4/25/2023 7:13","4/25/2023 7:13","4/25/2023 7:13","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","< 5 ans","","> 10 ans","entre 5 et 10 ans","< 5 ans","Université (y compris Ecole d'ingénieur d'Université)","","Corte ","un département d'informatique d'IUT","50 - 100","","","pluridiciplinaire avec une forte composante informatique","50 - 100","<50","60","","Oui","Par nécessité de service","51 - 80","","0","0","1","2","4","2","3","3","3","3","2","3","3","3","3","0","J'aime toujours enseigner","","1","2","2","2","0","0","0","0","0","2","0","0","3","2","0","0","J'aime toujours faire de la recherche","","Oui","5 - 8","","","","1","3","1","3","5","3","3","2","4","4","30/60/10","Non","Oui","5","5","5",""
"548","16097270","4/25/2023 11:57","4/25/2023 11:57","4/25/2023 11:57","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","> 20 ans","","> 10 ans","entre 5 et 10 ans","entre 5 et 10 ans","Université (y compris Ecole d'ingénieur d'Université)","","Paris","une UFR avec une forte composante en informatique",">200","<50","<50","majoritairement informatique (rattaché INS2I ou INSIS)",">300",">300","0","","Oui","Par nécessité de service","","","0","0","2","1","2","5","2","3","5","1","5","2","0","2","4","0","J'aime toujours enseigner","","4","1","4","1","4","4","4","4","4","5","4","3","3","3","3","2","J'aime toujours faire de la recherche","","Oui","<5","5 - 8","<5","5 - 8","2","1","1","0","0","2","0","0","0","4","30/60/10","Je n'en ai aucune idée","Qui sait, sur un malentendu ...","5","2","3",""
"549","16097581","4/25/2023 12:12","4/25/2023 12:12","4/25/2023 12:12","0","0.0.0.0","0","Anonymous","Une femme","Maître de Conférences (sans HDR)","entre 5 et 10 ans","","< 5 ans","Sans","< 5 ans","Université (y compris Ecole d'ingénieur d'Université)","","Paris","une UFR avec une forte composante en informatique",">200","","","majoritairement informatique (rattaché INS2I ou INSIS)",">300",">300","0","","Oui","Par nécessité de service","<50","<50","0","0","3","3","5","3","5","3","3","5","3","4","3","4","4","2","J'aime toujours enseigner mais un demi service me suffirait","","2","1","4","3","3","3","3","3","0","0","4","2","2","0","3","3","J'aime toujours faire de la recherche mais j'ai reduit pour des raisons personnelles","","Oui","<5","<5","<5","5 - 8","3","3","3","5","5","4","3","3","3","3","30/60/10","Je n'en ai aucune idée","Qui sait, sur un malentendu ...","4","1","1",""
"550","16097628","4/25/2023 12:15","4/25/2023 12:15","4/25/2023 12:15","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","> 20 ans","","> 20 ans","Sans","> 20 ans","Université (y compris Ecole d'ingénieur d'Université)","","Nice","une UFR avec une composante en informatique","",">200","","majoritairement informatique (rattaché INS2I ou INSIS)","101 - 200","101 - 200","45","","Oui","Par nécessité de service","81 - 120","81 - 120","0","0","4","0","3","5","2","5","3","3","3","5","0","NC","NC","3","J'aime toujours enseigner mais un demi service me suffirait","","3","0","0","0","1","0","0","0","0","2","2","2","NC","NC","NC","3","J'aime toujours faire de la recherche","","Non","","","","","","","","","","","","","","","45/45/10","Je n'en ai aucune idée","Qui sait, sur un malentendu ...","3","1","1",""
"551","16098156","4/25/2023 12:51","4/25/2023 12:51","4/25/2023 12:51","0","0.0.0.0","0","Anonymous","Une femme","Maître de Conférences (avec HDR)","> 20 ans","","> 20 ans","> 10 ans","> 20 ans","Université (y compris Ecole d'ingénieur d'Université)","","Paris","une UFR avec une forte composante en informatique",">200","","","majoritairement informatique (rattaché INS2I ou INSIS)",">300","","0","","Oui","Par nécessité de service","<50","<50","100","0","2","2","4","4","4","5","4","4","4","4","2","NC","NC","2","J'aime toujours enseigner mais un demi service me suffirait","","4","1","4","3","5","NSPP","NSPP","NSPP","","5","4","4","NSPP","NC","NC","NC","J'aime toujours faire de la recherche mais j'ai reduit pour des raisons personnelles","","Oui",">15","","","","4","4","1","1","NSPP","NC","4","1","4","3","40/30/30","Je ne suis pas ou plus concerné","Oui","4","3","4",""
"552","16098846","4/25/2023 13:41","4/25/2023 13:41","4/25/2023 13:41","0","0.0.0.0","0","Anonymous","Une femme","Professeur des Universités","> 20 ans","","> 20 ans","> 10 ans","> 10 ans","Université (y compris Ecole d'ingénieur d'Université)","","Nice","une Ecole d'ingénieur avec une forte composante en Informatique","101 - 150","<50","<50","majoritairement informatique (rattaché INS2I ou INSIS)","201 - 300","201 - 300","5","Le break covid en distanciel m'a fait prendre conscience de la possibilité de travailler plus efficacement et le plus souvent possible de chez moi","Oui","Par nécessité de service","<50","<50","80","0","2","3","4","4","4","4","3","3","2","3","1","1","2","4","J'aime toujours enseigner","je me dis qu'une raison réelle de ma motivation est toujours de transmettre aux jeunes tout ce qu'on sait, et le plaisir est toujours là quand on est face aux étudiants.","3","1","4","2","4","3","NSPP","NSPP","4","3","5","5","NSPP","4","3","NSPP","J'aime toujours faire de la recherche mais j'ai reduit pour des raisons personnelles","Des soucis de santé de plusieurs mois, des thésards qui se sont fait débaucher pour l'industrie, la période covid, la difficulté d'avoir une équipe de collègues moteurs (plus que moi, car plus disponibles), font que j'ai un peu laissé tomber, même si avec un doctorant à la fois, j'arrive tout de même à garder un intérêt et une excitation à pouvoir publier même modérément. Mais, je me sens globalement assez dépassée,  et préfère mettre mon énergie à réaliser des tâches plus administratives (y compris en recherche, pas qu'en enseignement) qui je le sais déchargeront d'autant des collègues plus motivés","Oui",">15","9 - 15","<5","<5","4","4","4","1","3","NC","NSPP","4","1","5","40/30/30","Je n'en ai aucune idée","Qui sait, sur un malentendu ...","4","2","3","C'est dramatique, lors des COS, de voir tant de candidatures d'enseignants chercheurs absolument pas préparées, un nombre de plus en plus faibles de bons dossiers, je m'inquiète très sérieusement quant au devenir de nos universités et du métier. En informatique, je présume que l'industrie est bien plus attractive financièrement, mais, pourquoi le public et l'enseignement/recherche ne semble plus du tout attirer... Nous courons à la catastrophe au niveau national, je le crains"
"553","16099612","4/25/2023 14:22","4/25/2023 14:22","4/25/2023 14:22","0","0.0.0.0","0","Anonymous","Une femme","Professeur des Universités","> 20 ans","","> 20 ans","> 10 ans","entre 5 et 10 ans","Université (y compris Ecole d'ingénieur d'Université)","","Paris","une UFR avec une composante en informatique",">200",">200","","majoritairement informatique (rattaché INS2I ou INSIS)",">300",">300","0","","Oui","Par nécessité de service","51 - 80","51 - 80","64","0","4","1","3","4","4","4","4","1","4","4","0","1","4","4","J'aime toujours enseigner mais un demi service me suffirait","","4","0","2","2","4","1","3","2","4","5","","1","4","5","2","1","J'aime toujours faire de la recherche","","Oui","5 - 8","5 - 8","<5","","3","5","4","0","5","5","4","1","3","4","30/50/20","Non","Qui sait, sur un malentendu ...","5","4","3",""
"554","16099818","4/25/2023 14:31","4/25/2023 14:31","4/25/2023 14:31","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","entre 5 et 10 ans","","entre 5 et 10 ans","Sans","entre 5 et 10 ans","Université (y compris Ecole d'ingénieur d'Université)","","Saint Denis","une UFR avec une composante en informatique",">200","","","majoritairement informatique (rattaché INS2I ou INSIS)","<50","<50","0","","Oui","Par nécessité de service","81 - 120","121 - 150","0","6","4","1","0","5","4","5","5","1","1","3","4","2","NC","3","J'aime toujours enseigner","","2","2","3","1","NC","NC","NC","NC","NC","4","NC","5","NC","NC","5","NC","J'aime toujours faire de la recherche","","Oui","5 - 8","9 - 15","5 - 8","<5","4","1","0","NC","NC","NSPP","NSPP","0","4","NSPP","45/50/5","Qui sait, sur un malentendu ...","Qui sait, sur un malentendu ...","5","1","5",""
"555","16104298","4/25/2023 18:55","4/25/2023 18:55","4/25/2023 18:55","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","> 10 ans","","> 10 ans","> 10 ans","> 10 ans","Université (y compris Ecole d'ingénieur d'Université)","","Lyon","une UFR sans réelle composante informatique","<50","<50","101 - 150","majoritairement non informatique (non rattaché INS2I ou INSIS)","50 - 100","<50","30","J'enseigne dans un INSPÉ CAPES Math, il y a de la NSI/SNT et c'est tout.","Oui","Par nécessité de service","<50","<50","30","0","4","3","3","3","3","3","1","3","1","2","0","0","0","1","J'aime toujours enseigner mais un demi service me suffirait","Je suis responsable du master MEEF Math, M1+M2, tout seul: nous sommes sensés être 7 permanents MCF+ moi PU mais 5 ont été recrutés en Suisse et sont détachés depuis des années. Nous manquons clairement de bras...","2","0","3","1","3","1","0","0","NC","1","3","2","0","2","1","1","J'aime toujours faire de la recherche mais j'ai reduit pour des raisons personnelles","","Oui","5 - 8",">15","5 - 8","<5","0","5","5","0","5","2","2","1","1","4","15/15/5","Je n'en ai aucune idée","Qui sait, sur un malentendu ...","4","3","2","Je me vois avec une mission de formation. Si ce n'est pas moi, il faut bien que ce soit quelqu'un, je manque peut-être d'humilité, mais autant que ce soit moi... Par contre, c'est vraiment trop solitaire, trop de travail, dans des conditions imposées par le cadrage national du ministère pour le master MEEF vraiment pénibles..."
"556","16109618","4/26/2023 10:56","4/26/2023 10:56","4/26/2023 10:56","0","0.0.0.0","0","Anonymous","Une femme","Professeur des Universités","> 20 ans","","> 20 ans","> 20 ans","> 10 ans","Université (y compris Ecole d'ingénieur d'Université)","","Toulouse","une Ecole d'ingénieur avec une forte composante en Informatique",">200","","","majoritairement informatique (rattaché INS2I ou INSIS)",">300",">300","0","Remarque sur le formulaire : Le nom de la ville allié aux questions  rompt l'anonymat des établissements d'enseignement et de recherche","Oui","Un peu des deux","<50","51 - 80","0","0","4","3","5","5","1","2","2","0","5","3","1","1","NSPP","2","J'aime toujours enseigner mais un demi service me suffirait","L'evolution de la relation etudiant à l'enseignement dispensé  n'est pas prise en compte : difficulté de gestion de de la motivation  etudiante, de  la question disciplinaire dans le supérieur . ","1","2","5","0","2","0","0","0","2","4","0","0","4","NC","NC","NC","J'ai arrêté et pense ne plus recommencer","","Oui","5 - 8","","5 - 8","","3","2","0","0","5","0","0","4","4","5","35/55/10","Non","Qui sait, sur un malentendu ...","5","1","3","Le statut d'Ec et son independance  est un atout  valorisable aupres de jeunes recrutés, cependant les conditions de travail avec un morcellement des taches, leur comptabilité  et de plus en plus de controles , 
sont difficiles a rendre attractifs surtout avec un salaire  plus faible qu'en entreprise"
"557","16109774","4/26/2023 11:05","4/26/2023 11:05","4/26/2023 11:05","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","entre 5 et 10 ans","","entre 5 et 10 ans","Sans","entre 5 et 10 ans","Université (y compris Ecole d'ingénieur d'Université)","","Paris","une UFR avec une forte composante en informatique",">200",">200","<50","majoritairement informatique (rattaché INS2I ou INSIS)",">300",">300","0","","Oui","Un peu des deux","81 - 120","81 - 120","0","0","4","2","5","5","4","3","4","2","2","4","2","3","NC","3","J'aime toujours enseigner","","4","1","5","1","2","2","2","2","4","4","2","1","2","3","3","4","J'aime toujours faire de la recherche mais j'ai reduit pour des raisons personnelles","","Oui","<5","<5","<5","<5","0","3","4","0","3","NC","NC","1","1","3","40/50/10","Qui sait, sur un malentendu ...","Qui sait, sur un malentendu ...","4","3","4",""
"558","16111204","4/26/2023 12:11","4/26/2023 12:11","4/26/2023 12:11","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","< 5 ans","","< 5 ans","Sans","< 5 ans","Ecole d'Ingénieurs (hors Université)","","Toulouse","une Ecole d'ingénieur avec une forte composante en Informatique","50 - 100","50 - 100","","majoritairement informatique (rattaché INS2I ou INSIS)","","","0","","Oui","Un peu des deux","81 - 120","81 - 120","0","0","5","5","5","5","5","5","5","5","2","3","1","3","1","1","J'aime toujours enseigner mais un demi service me suffirait","","3","2","4","1","4","4","2","2","2","3","3","3","3","2","3","3","J'aime toujours faire de la recherche","","Non","<5","<5","<5","<5","0","1","1","2","2","2","2","2","2","2","0/0/0","Je n'en ai aucune idée","Non","1","1","1",""
"559","16117375","4/26/2023 18:04","4/26/2023 18:04","4/26/2023 18:04","0","0.0.0.0","0","Anonymous","Un homme","Autre statut","> 10 ans","MCF associé","< 5 ans","Sans","< 5 ans","Université (y compris Ecole d'ingénieur d'Université)","","Bordeaux","un département d'informatique d'IUT",">200","<50","<50","aucun (je ne fais plus vraiment de recherche)","","","0","","Oui","Un peu des deux","<50","<50","0","0","4","4","5","5","4","5","5","5","5","5","5","5","5","4","J'aime toujours enseigner","Je fais partie des enseignants ayant perdu une part de rémunération significative suite à la suppression de l’indemnité différentielle SMIC par la DRFIP.","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","J'ai arrêté et pense ne plus recommencer","","Non","","","","","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","0/0/0","Je n'en ai aucune idée","Qui sait, sur un malentendu ...","5","3","3","Rémunération basse, conditions de travail parfois difficiles en enseignement avec l'augmentation des ingérences ministérielles et du volume d'étudiants. C'est un beau métier, mais mieux vaut avoir compris dans quoi on s'embarque."
"560","16118341","4/26/2023 19:35","4/26/2023 19:35","4/26/2023 19:35","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","> 20 ans","","> 20 ans","Sans","> 20 ans","Université (y compris Ecole d'ingénieur d'Université)","","","une UFR avec une composante en informatique",">200","101 - 150","101 - 150","pluridiciplinaire avec une forte composante informatique","50 - 100","<50","30","","De façon très exceptionnelle","","","","0","0","3","3","3","3","1","4","3","3","0","4","0","4","0","0","J'aime toujours enseigner","","3","0","4","0","3","2","1","1","4","4","5","4","2","3","3","3","J'aime toujours faire de la recherche","","Oui","5 - 8","<5","<5","5 - 8","0","0","0","0","0","NSPP","NSPP","4","0","4","45/45/10","Je n'en ai aucune idée","Qui sait, sur un malentendu ...","4","1","3",""
"561","16138729","4/28/2023 12:19","4/28/2023 12:19","4/28/2023 12:19","0","0.0.0.0","0","Anonymous","Une femme","Maître de Conférences (sans HDR)","> 10 ans","","entre 5 et 10 ans","Sans","entre 5 et 10 ans","Université (y compris Ecole d'ingénieur d'Université)","","Nice","une UFR avec une composante en informatique",">200","151 - 200",">200","majoritairement informatique (rattaché INS2I ou INSIS)","201 - 300","201 - 300","40","","Oui","Par nécessité de service","51 - 80","81 - 120","0","0","3","1","0","2","1","4","5","0","0","3","1","4","NC","0","J'aime toujours enseigner","","2","0","2","3","2","1","1","3","NC","4","4","4","NC","4","4","4","J'aime toujours faire de la recherche","","Oui","<5","5 - 8","5 - 8","5 - 8","3","3","0","0","NSPP","1","NSPP","2","NSPP","3","40/50/10","Non","Non","4","2","2",""
"562","16142714","4/28/2023 16:18","4/28/2023 16:18","4/28/2023 16:18","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (avec HDR)","> 10 ans","","entre 5 et 10 ans","< 5 ans","entre 5 et 10 ans","Ecole d'Ingénieurs (hors Université)","","Nantes","une autre Ecole d'ingénieur","101 - 150","151 - 200",">200","pluridiciplinaire sans composante informatique forte","101 - 200","<50","0","","Oui","Par nécessité de service","bcp plus !","bcp plus !","64","0","4","1","1","4","2","5","4","1","2","5","0","1","1","2","J'aime toujours enseigner","","2","1","2","1","2","1","1","0","3","2","1","1","1","4","4","4","J'aime toujours faire de la recherche","","Oui",">15","9 - 15","<5","5 - 8","2","5","1","1","4","3","3","1","1","4","40/40/20","Je n'en ai aucune idée","Oui","4","1","3","Je continuerai à le conseiller à des futur.e.s docteur.e.s mais en mettant en garde sur certains aspects (éviter de se faire aspirer dans trop d'enseignements ou de tâches administratives en début de carrière, garder du temps pour sa recherche, essayer de monter des projets ANR JCJ e début de carrière quand on a encore le temps). C'est un beau métier mais il nous manque cruellement de moyens humains et financiers !"
"563","16163289","5/2/2023 9:57","5/2/2023 9:57","5/2/2023 9:57","0","0.0.0.0","0","Anonymous","Une femme","Maître de Conférences (sans HDR)","> 10 ans","","> 10 ans","Sans","> 10 ans","Université (y compris Ecole d'ingénieur d'Université)","","Poitiers","une UFR avec une composante en informatique",">200","151 - 200",">200","autre",">300","<50","25","Laboratoire rattaché principalement à l'INSIS mais je ne dirais pas que c'est un laboratoire majoritairement informatique ","Oui","Par nécessité de service","51 - 80","51 - 80","0","0","1","1","3","3","1","5","4","2","3","4","1","2","NC","2","J'aime toujours enseigner","Trop d'étudiants mal orientés en L1 (davantage que dans les autres filières scientifiques)","1","0","2","NSPP","NSPP","NSPP","NSPP","NSPP","NSPP","2","NSPP","NSPP","NSPP","NC","NC","NC","J'aime toujours faire de la recherche mais j'ai reduit pour des raisons personnelles","Aucune réponse ne convient : j'aime toujours faire de la recherche mais le poids des autres missions m'a conduit à réduire","Oui",">15",">15","5 - 8",">15","4","5","0","0","NSPP","3","NSPP","2","NSPP","3","0/0/0","Oui","Qui sait, sur un malentendu ...","4","1","2","Les conditions d'exercice varient fortement d'une site à un autre de même que les conditions d'accueil des jeunes enseignants-chercheurs. Mais la constante en informatique est quand même le poids des heures complémentaires. Cela me parait extrêmement difficile pour un jeune en début de carrière. 

Pour la répartition, je n'ai pas répondu. Je ne pense pas qu'il y ait une répartition idéale figée au niveau de chaque individu mais que c'est au niveau du collectif qu'il faudrait raisonner. Il me semble que nous serions plus efficaces si nous pouvions tenir compte des qualités de chacune et chacun. De même, pour une personne donnée, le ratio devrait aussi pouvoir évoluer tout au long de sa carrière et la personne devrait pouvoir être accompagnée lorsqu'elle envisage des changements. Par contre il me semble important de garder un pied dans la recherche (d'une manière ou d'une autre) et un pied dans l'enseignement (ce pied-là étant plus facile à garder)."
"564","16163982","5/2/2023 10:26","5/2/2023 10:26","5/2/2023 10:26","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","> 10 ans","","> 10 ans","Sans","> 10 ans","Université (y compris Ecole d'ingénieur d'Université)","","Reims","une UFR avec une forte composante en informatique",">200",">200",">200","majoritairement informatique (rattaché INS2I ou INSIS)","<50","<50","0","","Oui","Par nécessité de service","bcp plus !","bcp plus !","0","0","2","0","1","3","3","5","3","2","3","4","1","1","1","2","J'aime toujours enseigner","","1","0","2","2","1","1","1","1","1","2","1","2","0","2","2","2","J'aime toujours faire de la recherche","","Oui","9 - 15",">15","<5","<5","2","4","2","NC","2","0","0","1","2","5","40/40/10","Je ne suis pas ou plus concerné","Oui","5","2","4","Cela reste un métier très important mais peut-être trop dépendant de sa compétence recherche (un gardera/valorisera toujours un bon chercheur même si c'est un mauvais enseignant mais pas l'inverse). Suivant la taille des universités, c'est tout ou rien en terme d'enseignement (à plus de 500h personnellement ...)"
"565","16164005","5/2/2023 10:28","5/2/2023 10:28","5/2/2023 10:28","0","0.0.0.0","0","Anonymous","Un homme","Autre statut","> 20 ans","Professeur IMT","> 20 ans","> 10 ans","> 10 ans","Ecole d'Ingénieurs (hors Université)","","Brest","une Ecole d'ingénieur avec une forte composante en Informatique","50 - 100",">200","","pluridiciplinaire avec une forte composante informatique",">300","101 - 200","0","","Non","","","","150","0","4","4","4","4","4","4","5","4","4","4","4","4","4","2","J'aime toujours enseigner","Je suis un enseignant plutôt heureux et privilégié.","2","4","4","1","3","2","2","1","2","4","4","4","3","3","3","2","J'aime toujours faire de la recherche","La compétition et l'innovation tuent la recherche. On est passé de 0% compétitif à 100% de financement compétitif ; c'est ridicule. La bonne vieille recette 80% au prorata des tailles (où de l'activité de recherche) et 20% en compétition serait bien plus efficace. 
La recherche, c'est être pointu. Pour évaluer,  soit je suis non-compétant (pas assez pointu) soit en conflit d'intérêt. Bref, l'évaluation se réduit à la qualité (bientôt esthétique) du dossier. Où est la science ?","Oui","<5","<5","<5","<5","3","2","2","3","3","NC","NSPP","3","3","4","50/45/5","Je ne suis pas ou plus concerné","Je ne suis pas ou plus concerné","5","3","4","Je pense le métier toujours passionnant. 
Il y a plusieurs équilibres à trouver, dépendant de chacun. L'équilibre E/R/A évolue avec le temps, les envies, les opportunités (idées)... Il n'y a pas d'équilibre idéal. (Attention à vouloir être gouverné par les nombres)
Transmettre aux étudiants reste un défi permanent. Mais quel plaisir quand l'idée est passée.
La pression de la compétition en recherche est trop forte et induit de l'inefficacité, des frustrations, des baisses de solidarité au sein d'équipes d'enseignants-chercheurs. 
Mon bonheur a consisté à ne pas se faire trop happé par cette frénésie..."
"566","16164512","5/2/2023 10:46","5/2/2023 10:46","5/2/2023 10:46","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","> 20 ans","","> 20 ans","Sans","> 20 ans","IUT","","Blagnac (31)","un département d'informatique d'IUT",">200","","","majoritairement informatique (rattaché INS2I ou INSIS)",">300",">300","30","","Oui","Un peu des deux","bcp plus !","121 - 150","0","0","4","0","3","1","0","3","1","1","4","3","1","1","1","1","J'aime toujours enseigner","","4","1","4","3","4","3","1","NC","NC","4","5","5","2","1","4","NC","J'aime toujours faire de la recherche mais j'ai reduit pour des raisons personnelles","","Oui","<5","5 - 8","<5","","2","2","2","NC","3","NSPP","2","4","5","2","50/40/10","Je n'en ai aucune idée","Je ne suis pas ou plus concerné","2","2","2",""
"567","16165681","5/2/2023 11:33","5/2/2023 11:33","5/2/2023 11:33","0","0.0.0.0","0","Anonymous","Une femme","Maître de Conférences (avec HDR)","> 10 ans","","> 10 ans","entre 5 et 10 ans","> 10 ans","Université (y compris Ecole d'ingénieur d'Université)","","Grenoble","une UFR avec une forte composante en informatique",">200",">200","<50","majoritairement informatique (rattaché INS2I ou INSIS)",">300",">300","5","","Oui","Un peu des deux","<50","","40","0","3","4","4","5","5","3","5","4","5","5","1","1","1","2","J'aime toujours enseigner","","1","1","5","2","4","2","3","NC","NC","4","4","3","2","3","2","1","J'aime toujours faire de la recherche","","Oui","","5 - 8","","","2","4","2","0","2","NC","4","2","0","4","30/30/30","Non","Oui","5","3","3","- trop de charges
- pas assez payé
- difficulté de réconcilier travail/famille
- ceux qui font de ""belles"" carrières travaillent TOUT le temps, on décroche pas ! Mais comment tiendra-t-on j'à 64 ans ?"
"568","16165962","5/2/2023 11:44","5/2/2023 11:44","5/2/2023 11:44","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","> 20 ans","","> 20 ans","Sans","> 20 ans","Ecole d'Ingénieurs (hors Université)","","Lyon","une autre Ecole d'ingénieur","50 - 100","50 - 100",">200","majoritairement informatique (rattaché INS2I ou INSIS)",">300",">300","0","","Oui","Par nécessité de service","81 - 120","81 - 120","0","0","4","2","4","3","3","5","4","4","4","4","3","3","4","5","J'aime toujours enseigner","","2","2","4","3","1","3","NC","NC","4","4","3","4","3","3","3","NC","J'aime toujours faire de la recherche mais j'ai reduit pour des raisons personnelles","","Oui","5 - 8","5 - 8","<5","<5","4","4","2","0","1","5","5","4","3","5","40/40/20","Oui","Je ne suis pas ou plus concerné","4","3","3",""
"569","16167185","5/2/2023 12:39","5/2/2023 12:39","5/2/2023 12:39","0","0.0.0.0","0","Anonymous","Une femme","Maître de Conférences (avec HDR)","> 20 ans","","> 20 ans","entre 5 et 10 ans","> 20 ans","Université (y compris Ecole d'ingénieur d'Université)","","Lyon","une UFR avec une forte composante en informatique",">200","","","majoritairement informatique (rattaché INS2I ou INSIS)",">300",">300","15","","Oui","Par nécessité de service","<50","<50","0","12","1","1","1","3","0","4","3","1","0","3","0","0","NC","1","J'aime toujours enseigner mais un demi service me suffirait","","3","3","3","1","4","3","3","3","NC","3","2","1","0","3","2","3","J'aime toujours faire de la recherche","","Oui","","5 - 8","","5 - 8","1","5","3","0","5","1","1","1","1","3","45/45/10","Je n'en ai aucune idée","Qui sait, sur un malentendu ...","2","1","2",""
